Metric,Sample Size,Mean Value,Sample CI Low,Sample CI High,Sample CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Number of Distinct Directly-Follows Relations,200,17.762,11.0,26.0,0.844499493300304,0.6094333313399832,0.0,0.6158041939280742,0.0,,False
Number of Distinct Directly-Follows Relations,250,18.574,12.0,26.0,0.7537417895983632,0.6094333313399832,0.0,0.6158041939280742,0.0,,False
Number of Distinct Directly-Follows Relations,300,19.656,12.0,29.524999999999977,0.8915852665852655,0.6094333313399832,0.0,0.6158041939280742,0.0,,False
Number of Distinct Directly-Follows Relations,350,20.824,13.0,30.0,0.8163657318478678,0.6094333313399832,0.0,0.6158041939280742,0.0,,False
Number of Distinct Directly-Follows Relations,400,20.958,12.47500000000001,28.0,0.7407672487832804,0.6094333313399832,0.0,0.6158041939280742,0.0,,False
Number of Distinct Directly-Follows Relations,450,21.844,15.0,32.0,0.7782457425379966,0.6094333313399832,0.0,0.6158041939280742,0.0,,False
Number of Distinct Directly-Follows Relations,500,22.602,15.0,32.0,0.7521458278028493,0.6094333313399832,0.0,0.6158041939280742,0.0,,False
Number of Distinct Traces,50,7.226,4.0,10.0,0.8303349017437033,0.6607101682105466,0.0,0.7094481586752638,0.0,,False
Number of Distinct Traces,100,9.054,6.0,13.0,0.7731389441130991,0.6607101682105466,0.0,0.7094481586752638,0.0,,False
Number of Distinct Traces,150,10.172,7.0,15.0,0.7864726700747149,0.6607101682105466,0.0,0.7094481586752638,0.0,,False
Number of Distinct Traces,200,11.232,7.0,17.0,0.8903133903133904,0.6607101682105466,0.0,0.7094481586752638,0.0,,False
Number of Distinct Traces,250,11.88,8.0,18.0,0.8417508417508417,0.6607101682105466,0.0,0.7094481586752638,0.0,,False
Number of Distinct Traces,300,12.782,8.0,21.0,1.0170552339227037,0.6607101682105466,0.0,0.7094481586752638,0.0,,False
Number of Distinct Traces,350,13.598,9.0,21.0,0.8824827180467716,0.6607101682105466,0.0,0.7094481586752638,0.0,,False
Number of Distinct Traces,400,14.028,9.0,21.0,0.8554319931565441,0.6607101682105466,0.0,0.7094481586752638,0.0,,False
Number of Distinct Traces,450,14.848,10.0,23.524999999999977,0.9108970905172398,0.6607101682105466,0.0,0.7094481586752638,0.0,,False
Number of Distinct Traces,500,15.578,10.0,27.0,1.0912825779946078,0.6607101682105466,0.0,0.7094481586752638,0.0,,False
Number of Events,50,186.722,125.42500000000003,242.0,0.6243238611411616,0.9641469914498999,0.0,0.9710214985598802,0.0,,False
Number of Events,100,375.762,283.425,494.525,0.5617917724517114,0.9641469914498999,0.0,0.9710214985598802,0.0,,False
Number of Events,150,560.462,413.80000000000007,748.05,0.5963829840381684,0.9641469914498999,0.0,0.9710214985598802,0.0,,False
Number of Events,200,748.444,528.475,975.8249999999997,0.5977067088519645,0.9641469914498999,0.0,0.9710214985598802,0.0,,False
Number of Events,250,931.252,727.95,1160.5749999999998,0.4645627606705809,0.9641469914498999,0.0,0.9710214985598802,0.0,,False
Number of Events,300,1126.914,838.9000000000001,1489.525,0.5773510667184896,0.9641469914498999,0.0,0.9710214985598802,0.0,,False
Number of Events,350,1312.086,940.0,1706.3499999999997,0.5840699466345953,0.9641469914498999,0.0,0.9710214985598802,0.0,,False
Number of Events,400,1487.62,1052.95,1908.525,0.5751300735402859,0.9641469914498999,0.0,0.9710214985598802,0.0,,False
